"data","n","p","method","seconds","lambda0","nonzeros","auc_train","auc_test","brier_train","brier_test","med_abs","max_abs"
"sim_5000_10_0.5_1_9_data.csv",5000,10,"LR",0.0424339771270752,NA,10,0.768216712675557,0.745098039215687,0.195319169610402,0.204680772246426,0.26918654060035,1.83492392868391
"sim_5000_10_0.5_1_9_data.csv",5000,10,"Rounded LR",0.0655419826507568,NA,6,0.767271814382327,0.747098839535814,0.195532906368778,0.201897668808696,1.5,8
"sim_5000_10_0.5_1_9_data.csv",5000,10,"Lasso",0.896101951599121,0.00260368492481321,5,0.767957907665093,0.746698679471789,0.195397033043936,0.203829131678499,0.0620194613848666,1.42449049545893
"sim_5000_10_0.5_1_9_data.csv",5000,10,"Rounded Lasso",0.912713050842285,0.00260368492481321,4,0.756848732591463,0.725090036014406,0.19717409709733,0.208144532584403,0,2
"sim_5000_10_0.5_1_9_data.csv",5000,10,"NLLCD",0.296190977096558,0,6,0.767534059459391,0.748699479791917,0.195480728455213,0.202877369051392,1.5,10
"sim_5000_10_0.5_1_9_data.csv",5000,10,"NLLCD with CV (lambda_min)",125.198318958282,0.000724490796792359,5,0.76732285537048,0.749499799919968,0.195490042832291,0.202879878614957,1,10
"sim_5000_10_0.5_1_9_data.csv",5000,10,"NLLCD with CV (lambda_1se)",125.198318958282,0.0229104106169407,4,0.760772488555378,0.758103241296519,0.196889037540205,0.204389005721247,0,10
"sim_5000_10_0.5_3_1_data.csv",5000,10,"FasterRisk",5.62958788871765,NA,7,0.833313097154163,0.885064412238325,0.34465526536965,0.36689348309311,2,10
"sim_5000_10_0.5_3_1_data.csv",5000,10,"LR",0.0286948680877686,NA,10,0.834928280631702,0.882850241545894,0.16286645418366,0.135373697741692,0.442063814746881,2.4989732631113
"sim_5000_10_0.5_3_1_data.csv",5000,10,"Rounded LR",0.0464568138122559,NA,5,0.829124528427614,0.890499194847021,0.164028298186633,0.133116167000591,1,6
"sim_5000_10_0.5_3_1_data.csv",5000,10,"Lasso",0.798549175262451,0.00251683744762611,5,0.835398972023455,0.884460547504025,0.162956743199692,0.135217357242457,0.177918868171358,2.09443039159408
"sim_5000_10_0.5_3_1_data.csv",5000,10,"Rounded Lasso",0.822115182876587,0.00251683744762611,4,0.822603406341623,0.891908212560386,0.167214024892031,0.133691393562134,0,3
"sim_5000_10_0.5_3_1_data.csv",5000,10,"NLLCD",0.228106021881104,0,7,0.832493531897771,0.883856682769726,0.163434148185159,0.134064048322141,2,10
"sim_5000_10_0.5_3_1_data.csv",5000,10,"NLLCD with CV (lambda_min)",92.7484879493713,0.00149135982563213,5,0.830115487180407,0.890700483091787,0.163600011521027,0.13067240587505,1.5,10
"sim_5000_10_0.5_3_1_data.csv",5000,10,"NLLCD with CV (lambda_1se)",92.7484879493713,0.0321303734366176,5,0.830115487180407,0.890700483091787,0.163600011521027,0.13067240587505,1.5,10
"sim_5000_10_0.5_3_10_data.csv",5000,10,"FasterRisk",7.42202591896057,NA,5,0.803582714954005,0.856078904991948,0.304966971199349,0.280483540890558,1,9
"sim_5000_10_0.5_3_10_data.csv",5000,10,"LR",0.0279810428619385,NA,10,0.807511200039605,0.850644122383253,0.177335905446985,0.155551709779233,0.400272779801742,3.56697228317701
"sim_5000_10_0.5_3_10_data.csv",5000,10,"Rounded LR",0.052419900894165,NA,5,0.803582714954005,0.856078904991948,0.178144606132002,0.154206926844403,1,9
